Weergave_Naam,Locatie,Kaartweergave,Categorie,Aflevering,Waarde,Latitude,Longitude,Link
Vlaams-Brabant,Vlaams-Brabant,Punt,Provincie,Provincie 21,1,50.8686516,4.7886238,https://www.grotepodcastlas.nl/aflevering/vlaams-brabant
Oost-Vlaanderen,Oost-Vlaanderen,Punt,Provincie,Provincie 20,1,51.0375423,3.811783,https://www.grotepodcastlas.nl/aflevering/oost-vlaanderen
Henegouwen,Henegouwen,Punt,Provincie,Provincie 17,1,50.36192,4.125217,https://www.grotepodcastlas.nl/aflevering/henegouwen
Luik,Luik,Punt,Provincie,Provincie 16,1,50.6450944,5.5736112,https://www.grotepodcastlas.nl/aflevering/luik
Antwerpen,Antwerpen,Punt,Provincie,Provincie 15,1,51.2211097,4.3997081,https://www.grotepodcastlas.nl/aflevering/antwerpen
Namen,Namen,Punt,Provincie,Provincie 14,1,50.4665284,4.8661892,https://www.grotepodcastlas.nl/aflevering/namen
West-Vlaanderen,West-Vlaanderen,Punt,Provincie,Provincie 13,1,51.0404747,2.9994213,https://www.grotepodcastlas.nl/aflevering/west-vlaanderen
Langs de Zuid-Chinese Zee,Langs de Zuid-Chinese Zee,Punt,Special,Special 17,1,,,https://www.grotepodcastlas.nl/aflevering/langs-de-zuid-chinese-zee
Het Suriname van Humberto Tan,Het Suriname van Humberto Tan,Punt,Special,Special 16,1,,,https://www.grotepodcastlas.nl/aflevering/het-suriname-van-humberto-tan
Eilanden: Curaçao,Eilanden: Curaçao,Land,Eilanden,Eilanden 6,1,12.1845,-68.6607923,https://www.grotepodcastlas.nl/aflevering/eilanden-curacao
Eilanden: Sint Eustatius,Eilanden: Sint Eustatius,Land,Eilanden,Eilanden 5,1,,,https://www.grotepodcastlas.nl/aflevering/eilanden-sint-eustatius
Eilanden: Bonaire,Eilanden: Bonaire,Land,Eilanden,Eilanden 4,1,,,https://www.grotepodcastlas.nl/aflevering/eilanden-bonaire
Kids: Nederland,Kids: Nederland,Land,Kids,Kids 10,1,52.3636157,4.9371087,https://www.grotepodcastlas.nl/aflevering/kids-nederland
Kids: Verenigd Koninkrijk,Kids: Verenigd Koninkrijk,Land,Kids,Kids 9,1,52.0803803,-1.9477504,https://www.grotepodcastlas.nl/aflevering/kids-verenigd-koninkrijk
Eilanden: Sint Maarten,Eilanden: Sint Maarten,Land,Eilanden,Eilanden 3,1,18.0648184,-63.0491711,https://www.grotepodcastlas.nl/aflevering/eilanden-sint-maarten
Kids: Spanje,Kids: Spanje,Land,Kids,Kids 8,1,41.6894523,2.2779868,https://www.grotepodcastlas.nl/aflevering/kids-spanje
Kids: Oostenrijk,Kids: Oostenrijk,Land,Kids,Kids 7,1,47.8483283,13.0171421,https://www.grotepodcastlas.nl/aflevering/kids-oostenrijk
Eilanden: Saba,Eilanden: Saba,Land,Eilanden,Eilanden 2,1,27.7690351,-15.5443431,https://www.grotepodcastlas.nl/aflevering/eilanden-saba
Kids: Denemarken,Kids: Denemarken,Land,Kids,Kids 6,1,55.8607815,9.8462393,https://www.grotepodcastlas.nl/aflevering/kids-denemarken
Kids: Griekenland,Kids: Griekenland,Land,Kids,Kids 5,1,35.416057,24.6485119,https://www.grotepodcastlas.nl/aflevering/kids-griekenland
Wereldwijde klimaatpolitiek,Wereldwijde klimaatpolitiek,Punt,Special,Special 15,1,,,https://www.grotepodcastlas.nl/aflevering/wereldwijde-klimaatpolitiek
Eilanden: Aruba,Eilanden: Aruba,Land,Eilanden,Eilanden 1,1,36.3416594,28.2001165,https://www.grotepodcastlas.nl/aflevering/eilanden-aruba
Kids: Duitsland,Kids: Duitsland,Land,Kids,Kids 4,1,49.5377892,7.4034929,https://www.grotepodcastlas.nl/aflevering/kids-duitsland
Kids: België,Kids: België,Land,Kids,Kids 3,1,50.950748,5.375565,https://www.grotepodcastlas.nl/aflevering/kids-belgie
Kids: Frankrijk,Kids: Frankrijk,Land,Kids,Kids 2,1,48.3293658,4.1045233,https://www.grotepodcastlas.nl/aflevering/kids-frankrijk
Kids: Italië,Kids: Italië,Land,Kids,Kids 1,1,42.143968,13.4769831,https://www.grotepodcastlas.nl/aflevering/kids-italie
750 jaar Amsterdam,750 jaar Amsterdam,Punt,Special,Special 14,1,,,https://www.grotepodcastlas.nl/aflevering/750-jaar-amsterdam
Een geopolitieke kijkwijzer van het Songfestival,Een geopolitieke kijkwijzer van het Songfestival,Punt,Special,Special 13,1,,,https://www.grotepodcastlas.nl/aflevering/een-geopolitieke-kijkwijzer-van-het-songfestival
De geografie van bier,De geografie van bier,Punt,Special,Special 12,1,,,https://www.grotepodcastlas.nl/aflevering/de-geografie-van-bier
Achter de schermen bij 3 op Reis,Achter de schermen bij 3 op Reis,Punt,Special,Special 11,1,,,https://www.grotepodcastlas.nl/aflevering/achter-de-schermen-bij-3-op-reis
De hotspots en ruïnes van de Amerikaanse Droom,De hotspots en ruïnes van de Amerikaanse Droom,Punt,Special,Special 10,1,,,https://www.grotepodcastlas.nl/aflevering/de-hotspots-en-ruines-van-de-amerikaanse-droom
Een kijkje in de cockpit van de topdiplomatie,Een kijkje in de cockpit van de topdiplomatie,Punt,Special,Special 9,1,,,https://www.grotepodcastlas.nl/aflevering/een-kijkje-in-de-cockpit-van-de-topdiplomatie
VK: Schotland,VK: Schotland,Land,Reguliere aflevering,Afl. 74,1,56.7861112,-4.1140518,https://www.grotepodcastlas.nl/aflevering/vk-schotland
VK: Noord-Ierland,VK: Noord-Ierland,Land,Reguliere aflevering,Afl. 73,1,54.5859836,-6.9591554,https://www.grotepodcastlas.nl/aflevering/vk-noord-ierland
VK: Wales,VK: Wales,Land,Reguliere aflevering,Afl. 72,1,52.2928116,-3.73893,https://www.grotepodcastlas.nl/aflevering/vk-wales
VK: Engeland,VK: Engeland,Land,Reguliere aflevering,Afl. 71,1,52.5310214,-1.2649062,https://www.grotepodcastlas.nl/aflevering/vk-engeland
Een andere kijk op toerisme,Een andere kijk op toerisme,Punt,Special,Special 8,1,,,https://www.grotepodcastlas.nl/aflevering/een-andere-kijk-op-toerisme
China's wereldambitie,China's wereldambitie,Punt,Special,Special 7,1,,,https://www.grotepodcastlas.nl/aflevering/chinas-wereldambitie
De erfenis van Pinochet,De erfenis van Pinochet,Punt,Special,Special 6,1,,,https://www.grotepodcastlas.nl/aflevering/de-erfenis-van-pinochet
Van Atatürk tot Erdoğan,Van Atatürk tot Erdoğan,Punt,Special,Special 5,1,,,https://www.grotepodcastlas.nl/aflevering/van-ataturk-tot-erdogan
Langs de nieuwe zijderoute,Langs de nieuwe zijderoute,Punt,Special,Special 4,1,,,https://www.grotepodcastlas.nl/aflevering/langs-de-nieuwe-zijderoute
De oorlog in Oekraïne,De oorlog in Oekraïne,Punt,Special,Special 3,1,,,https://www.grotepodcastlas.nl/aflevering/de-oorlog-in-oekraine
Nederland in het buitenland,Nederland in het buitenland,Punt,Special,Special 2,1,,,https://www.grotepodcastlas.nl/aflevering/nederland-in-het-buitenland
Internationale scheepvaart,Internationale scheepvaart,Punt,Special,Special 1,1,,,https://www.grotepodcastlas.nl/aflevering/internationale-scheepvaart
Colombia,Colombia,Land,Reguliere aflevering,Afl. 1,1,4.5709,-74.2973,https://www.grotepodcastlas.nl/aflevering/colombia
Zuid-Korea,South Korea,Land,Reguliere aflevering,Afl. 2,1,35.9078,127.7669,https://www.grotepodcastlas.nl/aflevering/zuid-korea
Ierland,Ireland,Land,Reguliere aflevering,Afl. 3,1,53.1424,-7.6921,https://www.grotepodcastlas.nl/aflevering/ierland
Tunesië,Tunisia,Land,Reguliere aflevering,Afl. 4,1,33.8869,9.5375,https://www.grotepodcastlas.nl/aflevering/tunesie
Kazachstan,Kazakhstan,Land,Reguliere aflevering,Afl. 5,1,48.0196,66.9237,https://www.grotepodcastlas.nl/aflevering/kazachstan
Georgië,Georgia,Land,Reguliere aflevering,Afl. 6,1,42.3154,43.3569,https://www.grotepodcastlas.nl/aflevering/georgie
Fiji,Fiji,Land,Reguliere aflevering,Afl. 7,1,-17.7134,178.065,https://www.grotepodcastlas.nl/aflevering/fiji
